id,name,interests,caption
51,leo turner,Potrait,sat back and let things happen to them. They went out and happened to things.
52,Bernice Rodriguez,Wedding,"Love can be unselfish, in the sense of being benevolent and generous, without being selfless."
53,Joshua Holt,Mountains,Pretty please with a cherrry on top
54,Edgar Berry,Illustrations,"When I feel a little down, I put on my favourite high heels and dance"
55,Pamela Wade,Nature,Watch more sunsets than Netflix.
56,Linda Baker,Aerial,"Hey, I just met you, this is crazy."
57,jamie hunt,Sports,At least this balloon is attracted to me
58,naomi newman,Architecture,I must destroy you with hugs and kisses
59,eugene horton,Fashion,Stop looking for happiness in the same place you just lost it.
60,jackson burns,Wildlife,I woke up like this.
61,Minnie Lynch,Landscape,I decide the vibe.
62,Celina Martin,Potrait,If we could only turn back time…
63,Carter Kennedy,Wedding,Keep smiling because life is a beautiful thing and there’s so much to smile about.
64,jeremiah thompson,Mountains,No one is you. That’s your power!
65,Seth Mckinney,Illustrations,Got my coffee and donut.
66,Justin Gutierrez,Nature,Escape the ordinary.
67,Genesis Reid,Aerial,Sweeter than honey.
68,Lloyd Coleman,Sports,Proof that I can do selfies better than you
69,Gertrude Woods,Architecture,When your mom lectures you about how you need to lose weight for an hour and you’re like ‘shit I don’t care I have got a skinny mirror to make me look good’!
70,bobby lawson,Fashion,"A friend will always make you Smile, especially when you don’t want to…"
71,dawn peck,Wildlife,"Life is like a balloon..If you never let go, you will not know how high can you rise."
72,dennis mills,Macro,Sometimes life can surprise you with a happy coincidence.
73,leo turner,Abstract,You can’t afford my Swag Bitch! #selfie
74,Bernice Rodriguez,Black and White,This is to the Echos of our laughter. The looks That we Share. The never-ending gossips. and the Sudden amazing getaways. This is to our Past And This is to Our Future. This is to our Friendship that will Never Fade.
75,Joshua Holt,Bird,Life isn’t perfect…But my Hair is! #selfieaddict
76,Edgar Berry,Night,"Always classy, never trashy, and a little bit sassy."
77,Pamela Wade,Food,"Friday, my second favorite F word"
78,Linda Baker,Mobile,Life isn’t perfect…But my Hair is! #selfieaddict
79,jamie hunt,interests,"I didn’t choose the thug life, the thug life chose me."
80,naomi newman,Landscape,When I was Rome.. I did what the Romans did.
81,eugene horton,Potrait,I got back with my Ex…Box 360
82,jackson burns,Wedding,Lost in the world that doesn’t exist.
83,Minnie Lynch,Mountains,Today I will be as useless as letter g in lasagna.
84,Celina Martin,Illustrations,You only drink diet soda? You must be so healthy.
85,Carter Kennedy,Nature,The worst time to have a heart attack is during a game of charades.
86,jeremiah thompson,Aerial,The moment when she says you’re cute.
87,Seth Mckinney,Sports,If we could only turn back time…
88,Justin Gutierrez,Architecture,"tight jeans, loose morals"
89,Genesis Reid,Fashion,pathetic and asthetic
90,Lloyd Coleman,Wildlife,life is tough and so are you
91,Gertrude Woods,Landscape,"chin up, buttercup"
92,bobby lawson,Potrait,nothing gold can stay
93,dawn peck,Wedding,only fools fall for you
94,dennis mills,Mountains,try again
95,leo turner,Illustrations,glittterr
96,Bernice Rodriguez,Nature,what if you had the chance
97,Joshua Holt,Aerial,my always mood
98,Edgar Berry,Sports,50 shades of summer
99,Pamela Wade,Architecture,cause I’m icy
100,Linda Baker,Fashion,Smilin
101,jamie hunt,Wildlife,wanderlu$t
102,naomi newman,Macro,still waiting for you
103,eugene horton,Abstract,tell me you love me
104,jackson burns,Black and White,old school summer
105,Minnie Lynch,Bird,forever a city girl
106,Celina Martin,Night,summer glow
107,Carter Kennedy,Food,forever in the sun
108,jeremiah thompson,Mobile,happy vibes today
109,Seth Mckinney,interests,"With You, I forget all my problems. With You, Time Stands Still."
110,Justin Gutierrez,Landscape,We come to love by not finding the perfect person but by learning to see an imperfect person perfectly.
111,Genesis Reid,Potrait,"When I fell for you, I fell Hard"
112,Lloyd Coleman,Wedding,"If I ever write a story about my life, don’t be surprised if your name appears billion times."
113,Gertrude Woods,Mountains,"I want you to be happy, but I want you to be happy with Me."
114,bobby lawson,Illustrations,It will be Always YOU.
115,dawn peck,Nature,"If you are Mine, You are Mine. I don’t like Sharing."
116,dennis mills,Aerial,Nothing Can replace you!
117,leo turner,Sports,I love you. That’s all I know.
118,Bernice Rodriguez,Architecture,I’m not perfect but I am Loyal.
119,Joshua Holt,Fashion,"I don’t know what’s tighter, our jeans or our friendship!"
120,Edgar Berry,Wildlife,"“I would rather walk with a friend in the dark, than alone in the light.” —Helen Keller"
121,Pamela Wade,Landscape,Best Friends make good times better and hard times easier!
122,Linda Baker,Potrait,I don’t know what I did to have a best friend like you.
123,jamie hunt,Wedding,Life was meant for Best Friends and Good Adventures!
124,naomi newman,Mountains,"She is my Best Friend. You break her heart, I will break your face."
125,eugene horton,Illustrations,Meet my Partner in Crime
126,jackson burns,Nature,It’s me and my Best Friend for Life!
127,Minnie Lynch,Aerial,Good Times + Crazy Friends = Great Memories!
128,Celina Martin,Sports,"Sometimes, being with your BFF is all the therapy you need!"
129,Carter Kennedy,Architecture,i don’t need your approval to be me.
130,jeremiah thompson,Fashion,"Why chase you, when I am the catch!"
131,Seth Mckinney,Wildlife,"I am who I am, I am what I am, I do what I do and I ain’t never gonna do it any different. I don’t care who likes it and who doesn’t."
132,Justin Gutierrez,Macro,"Take me as I am, or watch me as I go."
133,Genesis Reid,Abstract,"If I were you, I would adore me."
134,Lloyd Coleman,Black and White,Me? Weird? Bitch Please! I am a Limited Edition.
135,Gertrude Woods,Bird,I am not perfect. I make mistakes. But when I say Sorry… I mean it!
136,bobby lawson,Night,"I am not trying to give an image of a fairy-tale, perfect, everything else, I am just being myself."
137,dawn peck,Food,I was both loved and hated for being upfront. But I was just being myself.
138,dennis mills,Mobile,"I like being myself. Maybe just slimmer, with fewer wrinkles."
139,leo turner,interests,I take a lot of pride in being myself. I’m comfortable with who I am.
140,Bernice Rodriguez,Landscape,Everyone said I could be Anything.. So I became Sexy!
141,Joshua Holt,Potrait,Do you sit in a pile of sugar? cause you got a pretty sweet ass!
142,Edgar Berry,Wedding,They say tongue is the strongest muscle of the body. Wanna fight?
143,Pamela Wade,Mountains,Did you swallow magnets? cause you are attractive!
144,Linda Baker,Illustrations,Kiss me if I’m wrong but Dinosaurs still exist? Right?
145,jamie hunt,Nature,Nice t-shirt. Can I talk you out of it?
146,naomi newman,Aerial,Do you have a name or can I call you Mine?
147,eugene horton,Sports,Do you like sleeping? Me too! We should do it together sometimes!
148,jackson burns,Architecture,Can I borrow a kiss? I promise I’ll give it back.
149,Minnie Lynch,Fashion,"Aside from being sexy, what do you do for a living?"
150,Celina Martin,Wildlife,"Do you live in a cornfield, coz I’m stalking you."
151,Carter Kennedy,Landscape,"Never do the same mistake twice, unless he’s hot!"
152,jeremiah thompson,Potrait,My mind is full of You!
153,Seth Mckinney,Wedding,Can I keep You?
154,Justin Gutierrez,Mountains,Hey You! I love your face!
155,Genesis Reid,Illustrations,You don’t cross my mind. You live there!
156,Lloyd Coleman,Nature,As beautiful on the inside as I am on the outside.
157,Gertrude Woods,Aerial,Let me touch your shirt so I can tell you if it’s boyfriend material.
158,bobby lawson,Sports,"Besides chocolate, you’re my favorite."
159,dawn peck,Architecture,Smile. It’s the second-best thing you can do with your lips.
160,dennis mills,Fashion,"In a room full of art, I would still stare at you."
161,leo turner,Wildlife,"Don’t talk, just act. Don’t say, just show. Don’t promise, just prove."
162,Bernice Rodriguez,Macro,Never stop doing great just because someone doesn’t give you credit.
163,Joshua Holt,Abstract,It always seems impossible until it’s done.
164,Edgar Berry,Black and White,Marry the right person. This one decision will determine 90% of your happiness or misery.
165,Pamela Wade,Bird,Be honest.
166,Linda Baker,Night,When money speaks. Nobody checks the grammar.
167,jamie hunt,Food,Life is a game with snakes on every level.
168,naomi newman,Mobile,Block the bullshit before they infect you.
169,eugene horton,interests,Move on. They are not your destination.
170,jackson burns,Landscape,Strong Men don’t have attitude. They have Standards.
171,Minnie Lynch,Potrait,I was there for myself when no one else.
172,Celina Martin,Wedding,"Push yourself, because no one is going to do it for you."
173,Carter Kennedy,Mountains,Invest the now in tomorrow’s dream.
174,jeremiah thompson,Illustrations,Some Girls want superman but walk past Clark Kent every day!
175,Seth Mckinney,Nature,Good things come to those who hustle.
176,Justin Gutierrez,Aerial,"If you want to succeed, you have to let failure be your best friend!"
177,Genesis Reid,Sports,You can’t do epic shit with basic people!
178,Lloyd Coleman,Architecture,Be self-starter.
179,Gertrude Woods,Fashion,"If it doesn’t challenge you, it doesn’t change you."
180,bobby lawson,Wildlife,I didn’t come here to lose.
181,dawn peck,Landscape,Hustle until your haters ask if you’re hiring.
182,dennis mills,Potrait,“You the best I ever had”
183,leo turner,Wedding,“Let’s celebrate with a toast and get lost in tonight”
184,Bernice Rodriguez,Mountains,Turn ya savage up and lose ya feelings
